Title,Price,Location_Category,Link,Brand,Condition,Size,Refresh_Rate,Resolution,Description
188-3 2500W High Pressure Cleaner Washer pump induction motor industrial,"Rs 37,500",Unknown,https://ikman.lk/en/ad/188-3-2500w-high-pressure-cleaner-washer-pump-induction-motor-industrial-for-sale-colombo,Unknown,,Unknown,Unknown,Unknown,"තත්වය : අලුත්ම.වර්ගය : Global.මාදිලිය : GTC 188 3.වානිජ භාවිතයන් සඳහා මෙන්ම ගෘහස්ථ භාවිතයට යොදාගත හැකි සේදුම් යන්ත්‍රයකි. වායු සමීකරණ සේවා, ත්‍රී රෝද රථ, යතුරුපැදි සේවා ආදිය සඳහා භාවිතා කල හැකි මාදිලියකි.මෝටරය : වොට් 2500 ක ඉන්ඩක්ශන් මෝටරය.ලබා ගත හැකි පීඩනය : බාර් 120 ක්.ජල පරිභෝජනය : මිනිත්තුවට ලීටර් 9 ක්.මෝටරය සඳහා මාස 06ක අලුත්වැඩියා වගකීමක් සමගින්.දැන්වීමේ සඳහන් කර ඇත්තේ වට්ටම් අඩු කිරීමෙන් පසු විකිණුම් මිල වේ.අවසරලත් අලෙවි නියෝජිත :මිහිර හාඩ්වෙයාර් .39/6 ප්‍රධාන පාර, අතුරුගිරිය.Condition : Brand new.Brand : GLOBAL. Model : GTC-188-3.Induction Motor powered light industrial use pressure washer.Motor : 2500 Watts, induction motor (brush less).Pressure : Upto 120 bar.Flow rate : 9 liters per minute. With 06 months company warranty for motor, repair type. Price mentioned in the ad is the final selling price after all discounts. Authorised dealer :Mihira hardware. 39 /6 Main road, Athurugiriya."
GTC 188-3 High Pressure Cleaner Washer pump induction motor industrial,"Rs 37,500",Unknown,https://ikman.lk/en/ad/gtc-188-3-high-pressure-cleaner-washer-pump-induction-motor-industrial-for-sale-colombo,Unknown,,Unknown,Unknown,Unknown,"තත්වය : අලුත්ම.වර්ගය : Global.මාදිලිය : GTC 188 3.වානිජ භාවිතයන් සඳහා මෙන්ම ගෘහස්ථ භාවිතයට යොදාගත හැකි සේදුම් යන්ත්‍රයකි. වායු සමීකරණ සේවා, ත්‍රී රෝද රථ, යතුරුපැදි සේවා ආදිය සඳහා භාවිතා කල හැකි මාදිලියකි.මෝටරය : වොට් 2500 ක ඉන්ඩක්ශන් මෝටරය.ලබා ගත හැකි පීඩනය : බාර් 120 ක්.ජල පරිභෝජනය : මිනිත්තුවට ලීටර් 9 ක්.මෝටරය සඳහා මාස 06ක අලුත්වැඩියා වගකීමක් සමගින්.දැන්වීමේ සඳහන් කර ඇත්තේ වට්ටම් අඩු කිරීමෙන් පසු විකිණුම් මිල වේ.අවසරලත් අලෙවි නියෝජිත :මිහිර හාඩ්වෙයාර් .39/6 ප්‍රධාන පාර, අතුරුගිරිය.Condition : Brand new.Brand : GLOBAL. Model : GTC-188-3.Induction Motor powered light industrial use pressure washer.Motor : 2500 Watts, induction motor (brush less).Pressure : Upto 120 bar.Flow rate : 9 liters per minute. With 06 months company warranty for motor, repair type. Price mentioned in the ad is the final selling price after all discounts. Authorised dealer :Mihira hardware. 39 /6 Main road, Athurugiriya."
Motor Mechanic,Unknown,Unknown,https://ikman.lk/en/ad/motor-mechanic-colombo-59,Unknown,Unknown,Unknown,Unknown,Unknown,"පළපුරුදු මෝටර් කාර්මික ශිල්පීන් අවශ්‍යයි.▪️වසර 3කට වැඩි පළපුරුද්ද ▪️වයස 20 - 40 ත් අතර▪️ආහාර හා නවාතැන් පහසුකම් ▪️දින 4ක නිවාඩු▪️වැටුප 50,000/=  -  80,000/=188/1 බොරැල්ල පාර, ගොඩගම , හෝමාගම"
Mitsubishi Motor Grader,"Rs 12,000,000",Unknown,https://ikman.lk/en/ad/mitsubishi-motor-grader-for-sale-matara,,,Unknown,Unknown,Unknown,Cylinder Capacity - 4400 CCYear Of Manufacture - 1996Country of Origin - JapanType of Body - OpenColour - White
"Samsung 24"" Inch Full HD IPS Frameless HDMI Gaming Used Monitor","Rs 21,990",Unknown,https://ikman.lk/en/ad/samsung-24-inch-full-hd-ips-frameless-hdmi-gaming-used-monitor-for-sale-colombo-14,,,24 Inch,75Hz,FHD,"ඔබට අවශ්‍ය සිමළුම උපාංග මාස තුනක ගෙවිමේ කාලයක් සහිතව KOKO App එක හරහා අප ආයතනයෙන් මිළ දී ගැනීමේ පහසුව අප සලසා තිබේ.පැමිණීමට ප්‍රතම අවශ්‍ය අයිතම තොග තිබේදැයි විමසා බලා පැමිණීමට කාරුණික වන්නවිනිමය අනුපාත හා වෙළඳපල තත්වයන් මත මිල ගනන් වෙනස් විය හැක බව කරුණාවෙන් සලකන්න.Display Specifications24"" Full HD (1920 x 1080) 16:9Fast 1ms Response Time75Hz Refresh Rate250 cd / ? BrightnessIPS TechnologyHDMIDisplay PortWall MountableLED Display⚡⚡ 3 Month warranty ⚡⚡🧧🧧🧧🧧🧧🧧🧧🧧🧧🧧🧧🧧🧧🧧🧧🧧🧧🧧🧧🧧🧧🧧🧧🧧🧧🥇 Myitem.lk (Pvt) Ltd අප ආයතනය, පසුගිය අවුරුදු 10ක පුරා විශ්වාසය සහ ගුණාත්මකභාවය මෙන්ම විශිෂ්ට සේවාවක් ඔබට ලබා දිමට නොපසුබටව කටයුතු කර අතර අලෙවියේ ඔබගේ විශ්වාසනිය සැපයුම්කරුවා  ලෙස අපව තෝරාගැනිම පිළිබදව ස්තූතිවන්ත වෙමු.🥇 100% අලුත් තත්ත්වයෙන් යුත්, ශ්‍රී ලංකාව තුළ භාවිතා කර නොමැති ආනයනය කරන ලද  විශේෂ වට්ටම් යටතේ ලබා ගත ගැනිමට ඔබට හැකියාවක් ඇත.        ***********************************************************************💰koko App එක භාවිතයෙන්ද ඔබට මාස තුනක ගෙවිමේ කාලයක් සහිතව අප ආයතනයෙන් ඔබට ලබා ගැනිමට පහසුව අප සලසා තිබේ.💰 WE ACCEPT ALL CREDIT & DEBIT CARD PAYMENTS    *********************************************************************📲 වැඩි විස්තර දැන ගැනිම සදහා උදෑසන 9.30 සිට පස්වරු 6.30 දක්වා අපව අමතන්න.🚚 දිවයින පුරා බෙදාහැරිම් කටයුතු සිදු කරනු ලැබේ.📶 වැඩි විස්තර සදහා අපගේ වෙබ් පිටුවට දැනම පිවිසෙන්න 📍 Myitem.lk(pvt) LTDOld Road, Maharagama"
Acer 24 inch 144Hz Monitor,"Rs 29,500",Unknown,https://ikman.lk/en/ad/acer-24-inch-144hz-monitor-for-sale-colombo,,,24 Inch,144Hz,FHD,"රුපියල් 29,900 කට අගල් 27 ,  144Hz refresh rate  එකක් තියන සුපිරිම Brand New Monitor එක 🔥24 Inch - 2950027 Inch - 37500.𝟬𝟯 𝗬𝗲𝗮𝗿𝘀 𝗪𝗮𝗿𝗿𝗮𝗻𝘁𝘆 | 𝗔𝗖𝗘𝗥 𝟮𝟰 , 𝟮𝟳 𝗶𝗻𝗰𝗵| 𝗙𝗛𝗗 | 𝟭𝟰𝟰𝗛𝘇 | 𝗙𝗿𝗮𝗺𝗲𝗹𝗲𝘀𝘀 | 𝗦𝘂𝗽𝗲𝗿 𝗖𝗼𝗺𝗳𝗼𝗿𝘁 𝗘𝗞𝟭 𝗠𝗼𝗻𝗶𝘁𝗼𝗿 😍🔥_______________________________________________________________________Model – ACER EK241G | ACER EK271G✅ Display with a FHD (1920x1080) resolution✅ In-Plane-Switching panel✅ 144Hz refresh rate, flicker-free✅ 1ms (VRB)✅ Colour : 99%sRGB✅ AMD FreeSync™ technology✅ Acer VisionCare✅ ZeroFrame design✅ ENERGY STAR® certified✅ Ergonomic stand tilts from -5 to 20 degrees24 inch =Rs 29,900/=27 inch = Rs 37,500/=03 Years Warranty Fully Hardwareඅපෙන් දැන් ඔයාලට මාස 60ක් දක්වා….Credit Card ඔස්සේ වාරික වශයෙන් ලැප්ටොප් ගෙවන්න ගන්න පුලුවන් 😍❤️📌. Maharagama , Ethul Kotte යන ශාඛා දෙකෙන්ම මිලදී ගත හැක .📌. kotte showroom name -Laptop Market Kotte .📌.Since 2011 we have been serving more than 8000 Cooperate and Local Client .📌. koko app එක මගින් ද Payment කිරීමේ හැකියාව ඇත .📌. ලංකාවේ ඕනෑම තැනකට Cash On Delivery සිදු කෙරේ.⭕. Credit Card Installments Available⭕. Koko payment accepted____________________________________"
"24"" Inch Frameless IPS Monitor (Full HD)","Rs 22,500",Unknown,https://ikman.lk/en/ad/24-inch-frameless-ips-monitor-full-hd-for-sale-colombo-1,,,24 Inch,Unknown,Unknown,"🆂🅿️🅴🅲🅸🅰️🅻  🅾️🅵🅵🅴🆁            💥 මෙම විශේෂ දීමනාව IKMAN.LK පාරිභෝගිකයන් සදහා පමනයි💥🔴24"" INCH DELL Frameless IPS Monitor (Full HD)🔴💥DELL U2417H / U2419H MODELS💥DELL P2421 MODELS✅HDMI PORT✅VGA PORT✅DISPLAY PORT ✅PRINTER PORT✅3.0 USB✅WITH OUT CABLE✅ONE TO ONE REPLACE 03 MONTHS WARRANTY✅ආනයනය කරන ලද හා ශ්‍රී ලංකාව ඇතුළත භාවිතා කර නොමැති 100% ක් අලුත් තත්ත්වයෙන් යුත් පරිගණක දැන් විශේෂ වට්ටම් යටතේ ලබා ගත හැක.✅ඔබගේ නිවසට, කාර්යාලයට, වෙලදසෑලට, පරිගනක ආයතනයට, අවශ්ය පරිගනක මිලදි ගෑනිම සදහා අපගේ පරිගනක ආයතනයට පෑමිනෙන්න.✅අප ආයතනයෙන් පරිගණක හා උපාංග මිලදී ගෙන ඔබත් වෙනස අත් විඳින්නවැඩි විස්තර සඳහා උදෑසන 10.00 -සිට ප.ව 7.00 අතර අපව අමතන්න✅ඔබගේ පෑරනි පරිගනකය සම්පුර්නයෙන්ම ඉවත් කරන්නේ කුමකටද, රෑගෙන එන්න LIO COMPUTER (KOTTE) අපගේ ආයතනයට, අප එයට නවීන කොටස් දමා අද කාලයට ගෑලපෙන පරිදි පහසු මිලට සකස් කරවා දෙන්නෙමු.🔴LIO COMPUTERS🔴🔴NO. 370, KOTTE ROAD, KOTTE..."
Noah Voxy Side Door Control Motor,"Rs 85,000",Unknown,https://ikman.lk/en/ad/noah-voxy-side-door-control-motor-for-sale-kalutara-1,,,Unknown,Unknown,Unknown,Recondition japan 🇯🇵 Brand new condition Both side available One side 85000 Call automoli hybrid partsChecking warranty 5 days
Suzuki Swift Rs Rediator Fan Motor,"Rs 48,500",Unknown,https://ikman.lk/en/ad/suzuki-swift-rs-rediator-fan-motor-for-sale-kalutara,,,Unknown,Unknown,Unknown,Genuine japan 🇯🇵 100% Direct import Island wide delivery COD / BANK Transfer
"Acer EK271 27"" Inch 144Hz IPS HDMI Frameless Gaming Monitor","Rs 35,500",Unknown,https://ikman.lk/en/ad/acer-ek271-27-inch-144hz-ips-hdmi-frameless-gaming-monitor-for-sale-colombo-18,,,27 Inch,144Hz,FHD,"ඔබ සොයන උසස්ම තත්ත්වයේ පරිගණක උපාංග වසර 10ක විශ්වාසය හා වගකීමක් සහිතව, වෙළඳපල අවම මිලට අපෙන් ලබාගන්න.Product specifications -⚡ Brand new sealed package⚡ 27"" Display with a FHD (1920×1080) resolution⚡ In-Plane-Switching panel IPS⚡ 144Hz refresh rate, flicker-free⚡ 1ms (VRB)⚡ AMD FreeSync™ technology⚡ Acer VisionCare⚡ ZeroFrame design⚡ ENERGY STAR® certified⚡ Ergonomic stand tilts from -5 to 20 degrees⚡ HDMI cable and power adaptor includedපැමිණීමට ප්‍රතම අවශ්‍ය අයිතම තොග තිබේදැයි විමසා බලා පැමිණීමට කාරුණික වන්න.💥03 Years  Warranty 🟥🟥🟥🟥🟥🟥🟥🟥🟥🟥🟥🟥🟥🟥🟥🟥🟥🟥🟥🟥🥇 Myitem.lk (Pvt) Ltd අප ආයතනය, පසුගිය අවුරුදු 10ක පුරා විශ්වාසය සහ ගුණාත්මකභාවය මෙන්ම විශිෂ්ට සේවාවක් ඔබට ලබා දිමට නොපසුබටව කටයුතු කර අතර අලෙවියේ ඔබගේ විශ්වාසනිය සැපයුම්කරුවා  ලෙස අපව තෝරාගැනිම පිළිබදව ස්තූතිවන්ත වෙමු.🥇 100% අලුත් තත්ත්වයෙන් යුත්, ශ්‍රී ලංකාව තුළ භාවිතා කර නොමැති ආනයනය කරන ලද ලැප්ටොප්දැ න් විශේෂ වට්ටම් යටතේ ලබා ගත ගැනිමට ඔබට හැකියාවක් ඇත.🥇 ඔබට අවශ්‍ය අනෙකුත් සියළුම  උපාංගද  මිළදි ගෙන වෙනස අත්විදින්න.***********************************************************************💰koko App එක භාවිතයෙන්ද ඔබට අවශ්‍ය සිමළුම උපාංග මාස තුනක ගෙවිමේ කාලයක් සහිතව අප ආයතනයෙන් ඔබට ලබා ගැනිමට පහසුව අප සලසා තිබේ.********************************************************************📲 වැඩි විස්තර දැන ගැනිම සදහා උදෑසන 9.30 සිට පස්වරු 6.30 දක්වා අපව අමතන්න.🚚 දිවයින පුරා බෙදාහැරිම් කටයුතු සිදු කරනු ලැබේ.📶 වැඩි විස්තර සදහා අපගේ වෙබ් පිටුවට දැනම පිවිසෙන්න 📍 Myitem.lk(pvt) LTDOld Road, Maharagama"
High Pressure 12V Dual Motor Water Pump - Brand New,"Rs 3,200",Unknown,https://ikman.lk/en/ad/high-pressure-12v-dual-motor-water-pump-brand-new-for-sale-kegalle,Unknown,,Unknown,Unknown,Unknown,"Boost your water pressure with this powerful WORKMAN Dual Motor Diaphragm Pump. Designed for high performance and durability, this pump is ideal for agriculture sprayers, car washing, floor cleaning, and DIY solar water systems.The dual-motor design provides significantly higher pressure and flow compared to standard single-motor pumps, making it a reliable choice for heavy-duty tasks.Key Specifications:Brand: WORKMANVoltage: 12V DC (Operating range: 9V - 14V)Current: 5.0AFlow Rate: 10 Liters Per Minute (LPM)Maximum Pressure: 220 PSI (15.0 Bar) with Automatic Cut-offFeatures: Thermal Protected, High-grade bearings (BBRG)Condition: Brand NewIdeal For:High-pressure agricultural sprayingVehicle and bike washingGarden irrigation systemsPortable shower systems or campingIncreasing water pressure in home DIY setups"
TG Monitor,"Rs 3,000",Unknown,https://ikman.lk/en/ad/tg-monitor-for-sale-galle,,,Unknown,Unknown,Unknown,Display ගිහිල්ල තියෙන්නෙ දාගන්න පුලුවන් කෙනෙකුට හොදයි.Parts විදිහට උනත් ගන්න පුලුවන්
"INTEL i3 3RD GEN 19"" Monitor Full Set","Rs 27,700",Unknown,https://ikman.lk/en/ad/intel-i3-3rd-gen-19-monitor-full-set-for-sale-colombo-1,,,19 Inch,Unknown,Unknown,"INTEL CORE i3 3RD GEN PROCESSOR 4GB RAM (DDR3) (NEW CONDITION)8GB RAM EXTRA 2000/= ONLY500GB HARDDISK (NEW CONDITION)DVD R/W2GB ONBOARD VGABRANDED SAMSUNG ORIGINAL COMPUTER19"" A GRADE MONITERBRAND NEW KEYBOARDBRAND NEW MOUSEBRAND NEW SPEAKERWINDOWS 10 WITH ALL SOFTWARE FOR FREEREADY TO USE ONE TO ONE REPLACEMENT WARRANTY 3 MONTH COMPLETE  WARRANTY2 YEARS SERVICE WARRANTY 100% WORKING CONDITIONREADY TO USE"
"24"" LED HDMI Monitor A GRADE","Rs 11,990",Unknown,https://ikman.lk/en/ad/24-led-hdmi-monitor-a-grade-for-sale-colombo,,,24 Inch,Unknown,Unknown,"24"" LED HDMI MONITERA GRADE MONITER3 MONTH WARRANTY"
Suzuki Wagon R MH55 Fan Motor,"Rs 11,000",Unknown,https://ikman.lk/en/ad/suzuki-wagon-r-mh55-fan-motor-for-sale-kalutara,,,Unknown,Unknown,Unknown,Japan Recondition Genuine Spare Parts All Parts Available Call For More Details
Suzuki Wagon R MH44 Fan Motor,"Rs 11,000",Unknown,https://ikman.lk/en/ad/suzuki-wagon-r-mh44-fan-motor-for-sale-kalutara,,,Unknown,Unknown,Unknown,Japan Recondition Genuine Spare Parts All Parts Available Call For More Details
Toyota Axio NKE165 Fan Motor,"Rs 12,000",Unknown,https://ikman.lk/en/ad/toyota-axio-nke165-fan-motor-for-sale-kalutara,,,Unknown,Unknown,Unknown,Japan Recondition Genuine Spare Parts All Parts Available Call For More Details
Toyota Aqua NHP10 Fan Motor,"Rs 12,000",Unknown,https://ikman.lk/en/ad/toyota-aqua-nhp10-fan-motor-for-sale-kalutara,,,Unknown,Unknown,Unknown,Japan Recondition Genuine Spare Parts All Parts Available Call For More Details
Mazda Axela BK5P 2004-2007 Fan Motor,"Rs 20,000",Unknown,https://ikman.lk/en/ad/mazda-axela-bk5p-2004-2007-fan-motor-for-sale-kalutara,,,Unknown,Unknown,Unknown,Japan Recondition Genuine Spare Parts All Parts Available Call For More Details
Suzuki Hustler Rediator Fan Motor,"Rs 25,000",Unknown,https://ikman.lk/en/ad/suzuki-hustler-rediator-fan-motor-for-sale-kalutara,,,Unknown,Unknown,Unknown,Recondition japan 🇯🇵 14 days checking warranty Full set 30000Motor only 25000Call automoli hybrid parts
"MONITOR 24"" FRAMELESS|FHD (BRAND NEW)","Rs 26,450",Unknown,https://ikman.lk/en/ad/monitor-24-framelessfhd-brand-new-for-sale-gampaha,,,24 Inch,100Hz,FHD,"🔴 PLEASE DO READ FULL DESCRIPTION BELOW කරුණාකර සම්පූර්ණ විස්තරය පහතින් කියවන්න-------------------------------------------------------------------------🆂🅿️🅴🅲🅸🅰️🅻  🅾️🅵🅵🅴🆁DAHUA 24 INCH FHD FRAMELESS MONITOR NEW - Rs.26450/-LM24-A200 - 24'' FHD Monitor> Light and cost-effective plastic housing;> Ultra-narrow bezel, elegant appearance, metal base;> 178°H/178°V extra-wide viewing angle for overall viewing performance;> High fidelity digital processing for a brilliant and vivid video;> Support multiple signal inputs including HDMI and VGA;> Low energy consumption, long service life;> Anti-blue light design, eye-protective.> Refresh Rate - 100Hz🔴 උදේ 9.00 ඉඳන් රෑ 12.00 වෙනකම් — ඔබ වෙනුවෙන් අපි OPEN! 🔥”“Open from 9:00 AM to 12:00 midnight — we’ve got you covered! 🔥”🔴 විනිමය අනුපාත හා වෙළඳපල තත්වයන් මත මිල ගනන් වෙනස් විය හැකි බව කරුණාවෙන් සලකන්න..Please note that prices may vary depending on exchange rates and market conditions..THIS PRICE IS VALID ONLY FOR 03 DAYS (08052026)🔴 විශේෂ දීමනා ලෙස ලබා දෙන මිල ගණන් යටතේ  අයිතමයන් මිලදී ගැනීමට ඔබ මෙම පොස්ටුව අපගේ ආයතනයට ඉදිරිපත් කළ යුතු අතර - එසේ නොවන සෑම විටම අපගේ කාර්ය මණ්ඩලය සාමාන්‍ය පාරිභෝගික  මිල යටතේ ඔබට භාණ්ඩ අලෙවි කරනු ඇති බව කරුණාවෙන්  සලකන්න.. (ඔන්ලයින් ඇණවුම් සදහා ස්ක්‍රීන් ෂොට් එකක් එවන්න)Please kindly consider that you have to display this post to our cashier to avail above special rates we given as offers (For online orders Please send Screenshot) If not our staff will billing all items you purchasing under our general shop sale prices.🔴 දිවයින පුරා භාණ්ඩ බෙදා හරින අතර, මුදල් ගෙවීමෙන් පසු ඔබට අදාල භාණ්ඩය කුරියර් මගින් ලබාගත හැක. (කොන්දේසි සහිතයි*)While we deliver goods island wide, you can receive your relevant item via courier after making the payment.(Terms & Condition Apply*) 🚖🚖🔴 භාණ්ඩ තොග ලැබීමේ විචල්‍යන්  මත මෙහි පලවන  සමහර චායරුප වල සහ අයිතමයේ මොඩලයන් අතර වෙනස් කම් පවතින අවස්ථාවන් තිබිය හැකි බව කරුණවෙන් සලකන්න. මිලදී ගැනීමට පෙර ඔබට අවශ්‍ය මොඩලය තිබේදැයි අපගේ ආයතනයෙන් විමසා තහවුරු කර ගත හැකිය..Above Mentioned Pictures can be different from the available stocks. You can check availability of models from our stores before make your order 🔴 වසර 16 කට වඩා වැඩි අලෙවිය සහ විස්වාසනීය සේවා සැපයීමේ පුරෝගමියා වන අපගේ අද්විතීය හා පලපුරුදු සේවාවන් ඔබත් ලබාගන්න..Avail our unique and experienced services pioneered in over 16 years of sales and reliable services. 🔴 ක්‍රෙඩිට් සහ ඩෙබිට් කාඩ්පත් මගින් ගෙවීම් සිදු කළ හැක.. (කොන්දේසි සහිතයි*)Card Payments Acceptable.. (Terms & Condition Apply*)🔴 ""Koko ගෙවීම් පහසුකම ලබාගත හැක.. (කොන්දේසි සහිතයි*)Koko payment available.. (Terms & Condition Apply*) 📌 කොළඹ දෙස සිට පැමිණෙන විට කිරිබත්ගොඩ Color Light එක පසු කර මීටර් 30 ක් පමණ එනවිට දකුණු පස පිහිටි ShaTech Zone පස්මහල් ගොඩනැගිල්ල..PLEASE VISIT OUR WEBSITE FOR MORE DEALS-----------------------------------------------------------------------ShaTech Zone – Kiribathgoda 34/B, New Kandy Road, Kiribathgoda Find on Google maps – ShaTech ZoneBEST PRICE CONTACTPosted By - Admin II"
24 INCH LENOVO THINKVISION WIDE 2K QHD IPS FRAMELESS HDMI USED MONITOR,"Rs 32,000",Unknown,https://ikman.lk/en/ad/24-inch-lenovo-thinkvision-wide-2k-qhd-ips-frameless-hdmi-used-monitor-for-sale-colombo-17,,,24 Inch,60Hz,2K,⭕Brand New Condition⭕දැන් Koko Payment හරහා වාරික 3කින් වගේම Payzy  Payment හරහා ඔයාට වාරික 4කින් ද ගෙවීමේ  ක්‍රමයට අපෙන් උපාංග මිල දී ගැනීමේ හැකියාව තිබේ.😍⭕ ඔබට අවශ්‍ය ප්‍රෙමානයෙන් යුත් විශාල ප්‍රේමාණයක් අප ආයතනයේ ඇත. ඔබට ඇවිත් තෝරා ගත හැකි අතර අවශ්‍ය නම් නිවසටම ගෙන්වා දිය හැක .⭕ ඔබගේ පරිගණක සිහිනය සැබෑ කර ගැනීමට වසර 10ක කාලයක් පමණ විශ්වාසනීය සේවාවක් සපයන අපව තෝරා ගැනීම සම්බන්දයෙන් ඔබට ස්තුතීයි !To Visit Our Web Site – Https://mdcomputers.Lk/...........................................................                                        Md Computers                                                    .............................................................WITH OUT CABLES03 MONTH WARRANTYDisplayPanel Size	24 inchesResolution	2560×1440Panel Type	3-side NearEdgelessIn-Plane SwitchingBacklight	WLEDBrightness(typical)	300 cd/m²Aspect Ratio	16:9Refresh Rate	60 HzResponse Time	4ms (extreme mode)6ms (normal mode)⭕ Call for More Details⭕ Md Computer Solutions.⭕ Homagama ( Opposite to Nsb Bank )
"22"" IPS MONITOR (1920 x 1080P) FRAMELESS|FULL HD|HDMI","Rs 17,450",Unknown,https://ikman.lk/en/ad/22-ips-monitor-1920-x-1080p-framelessfull-hdhdmi-for-sale-gampaha-4,,,22 Inch,60Hz,FHD,"🔴 PLEASE DO READ FULL DESCRIPTION BELOW කරුණාකර සම්පූර්ණ විස්තරය පහතින් කියවන්න-------------------------------------------------------------------------🆂🅿️🅴🅲🅸🅰️🅻  🅾️🅵🅵🅴🆁22"" IPS FHD HDMI FRAMELESS MONITOR - Rs.17450/-(Frameless IPS 22"" Inch Slim Full HD-1080p Monitor)Maximum preset resolution - 1920 x 1080 @ 50-60 Hz🔴 උදේ 9.00 ඉඳන් රෑ 12.00 වෙනකම් — ඔබ වෙනුවෙන් අපි OPEN! 🔥”“Open from 9:00 AM to 12:00 midnight — we’ve got you covered! 🔥”🔴 විනිමය අනුපාත හා වෙළඳපල තත්වයන් මත මිල ගනන් වෙනස් විය හැකි බව කරුණාවෙන් සලකන්න..Please note that prices may vary depending on exchange rates and market conditions..THIS PRICE IS VALID ONLY FOR 03 DAYS (08052026)🔴 විශේෂ දීමනා ලෙස ලබා දෙන මිල ගණන් යටතේ  අයිතමයන් මිලදී ගැනීමට ඔබ මෙම පොස්ටුව අපගේ ආයතනයට ඉදිරිපත් කළ යුතු අතර - එසේ නොවන සෑම විටම අපගේ කාර්ය මණ්ඩලය සාමාන්‍ය පාරිභෝගික  මිල යටතේ ඔබට භාණ්ඩ අලෙවි කරනු ඇති බව කරුණාවෙන්  සලකන්න.. (ඔන්ලයින් ඇණවුම් සදහා ස්ක්‍රීන් ෂොට් එකක් එවන්න)Please kindly consider that you have to display this post to our cashier to avail above special rates we given as offers (For online orders Please send Screenshot) If not our staff will billing all items you purchasing under our general shop sale prices.🔴 දිවයින පුරා භාණ්ඩ බෙදා හරින අතර, මුදල් ගෙවීමෙන් පසු ඔබට අදාල භාණ්ඩය කුරියර් මගින් ලබාගත හැක. (කොන්දේසි සහිතයි*)While we deliver goods island wide, you can receive your relevant item via courier after making the payment.(Terms & Condition Apply*) 🚖🚖🔴 භාණ්ඩ තොග ලැබීමේ විචල්‍යන්  මත මෙහි පලවන  සමහර චායරුප වල සහ අයිතමයේ මොඩලයන් අතර වෙනස් කම් පවතින අවස්ථාවන් තිබිය හැකි බව කරුණවෙන් සලකන්න. මිලදී ගැනීමට පෙර ඔබට අවශ්‍ය මොඩලය තිබේදැයි අපගේ ආයතනයෙන් විමසා තහවුරු කර ගත හැකිය..Above Mentioned Pictures can be different from the available stocks. You can check availability of models from our stores before make your order 🔴 වසර 16 කට වඩා වැඩි අලෙවිය සහ විස්වාසනීය සේවා සැපයීමේ පුරෝගමියා වන අපගේ අද්විතීය හා පලපුරුදු සේවාවන් ඔබත් ලබාගන්න..Avail our unique and experienced services pioneered in over 16 years of sales and reliable services. 🔴 ක්‍රෙඩිට් සහ ඩෙබිට් කාඩ්පත් මගින් ගෙවීම් සිදු කළ හැක.. (කොන්දේසි සහිතයි*)Card Payments Acceptable.. (Terms & Condition Apply*)🔴 ""Koko ගෙවීම් පහසුකම ලබාගත හැක.. (කොන්දේසි සහිතයි*)Koko payment available.. (Terms & Condition Apply*) 📌 කොළඹ දෙස සිට පැමිණෙන විට කිරිබත්ගොඩ Color Light එක පසු කර මීටර් 30 ක් පමණ එනවිට දකුණු පස පිහිටි ShaTech Zone පස්මහල් ගොඩනැගිල්ල..PLEASE VISIT OUR WEBSITE FOR MORE DEALS-----------------------------------------------------------------------ShaTech Zone – Kiribathgoda 34/B, New Kandy Road, Kiribathgoda Find on Google maps – ShaTech ZoneBEST PRICE CONTACTPosted By - Admin II"
