Brand,Vehicle_Type,Title,Fuel Type,Engine (cc),Condition,Gear,Price,Location,Mileage,Options,More_Details,Listing_URL
Toyota,SUV,Toyota Fortuner 3 0 V Grade 2013 SUV (Used),Diesel,3000,Registered (Used),Automatic,"Rs. 16,500,000",Gampaha,"140,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Toyota Fortuner 3.0 D-4D V

2013 Manufactured
Second Owner
Only 140,000km's Done

All Emission Test Records Available
Brand New  Tyres 3.0 L 1KD Turbo Diesel Engine
Automatic Transmission
Pearl White Exterior
Beige Leather Interior
7-Seater, Driver Side Electric Seat
Climate Control A/C with Added 3rd Row Cooling
Factory Fitted Entertainment Screen
With Reverse Camera Original Remote Key
Head Light Washers
Xenon Headlights Lights
Multifunctional Leather Steering Wheel
Toyota Auto Alarm System
Power Shutters & Power Mirrors

And Many More Options
Mint Condition

Can negotiable after inspection",https://riyasewana.com/buy/toyota-fortuner-3-sale-gampaha-11663768
Hyundai,SUV,Hyundai TUCSON 2006 SUV (Used),Petrol,1975,Registered (Used),Automatic,"Rs. 6,500,000",Chilaw,"128,326 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Government officer is used All documents updated. Full options. Original Carpets Tyre Good Conditions ,Original Hyundai Alloy Wheel set,Original Paint Registered Owner, Digital meter. Center Lock, At night Ignition key indicator light. etc.",https://riyasewana.com/buy/hyundai-tucson-sale-chilaw-11663744
Mitsubishi,SUV,Mitsubishi Pajero 2002 SUV (Used),Diesel,3200,Registered (Used),Automatic,Negotiable,Wennappuwa,"195,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Original Disel
DID
4 & 41 Original Engine 
Sunroof 
Leather 
Electric 
Cruise Control 
7 seats 
Duel AC
3rd Raw AC
Android Double Screen",https://riyasewana.com/buy/mitsubishi-pajero-sale-wennappuwa-11663727
Toyota,SUV,Toyota CHR NGX10 Black Top 2018 SUV (Used),Petrol,1200,Registered (Used),Automatic,"Rs. 14,250,000",Wennappuwa,"37,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Toyota CH-R NGX10 
Black Top
2018 
Service Record 
All Emmistion Test 
Fully Body kit
Fully Lordade 
2nd Oner 
Mint Condition car 
Low Milage Original Car",https://riyasewana.com/buy/toyota-chr-ngx10-sale-wennappuwa-11663639
Toyota,SUV,Toyota RAV4 L 2004 SUV (Used),Petrol,2000,Registered (Used),Automatic,"Rs. 2,250,000",Kandy,"179,900 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","TOYOTA RAV 4 L
YOM 2000 - REG 2004
Made in JAPAN 
2000CC  DUAL INJECTION 
AUTO ECON MODE AND POWER MODE
4WD AUTO SELECT 
TOUCH AC CONTROL PANNEL
ANDROID PLAYER
FULLY RESTORE VEHICLE 
New GYER BOX
New SUSPENSION 
New 4 TYRES 
New BATTERY 
Factory fitted body kit and spoiler 
ALL OPTIONS WORKING PERFECTLY 

PRICE 2250000 to hand
**4990000( 4.99) ml loan to transfer to buyer",https://riyasewana.com/buy/toyota-rav4-l-sale-kandy-11663611
Land-Rover,SUV,Land-Rover Range Rover Sport 2018 SUV (Used),Hybrid,2000,Registered (Used),Automatic,"Rs. 41,000,000",Colombo,"71,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Range Rover Sport Autobiography  P400e 2018

Beige Leather interior 
Extended Leather Package
360 surround view camera
Meridian surround sound system
360 surround Sensors
Deployable side steps
Panoramic sliding sunroof
Ambient lighting interior
Led headlamps with Signature DRL
Pixel Laser Headlamps
Cruise control
Cool Box
Height control - OFF Road Package
Company Maintenance (Access)
Exchange Possible",https://riyasewana.com/buy/land-rover-range-rover-sale-colombo-11663580
BMW,SUV,BMW X5 2016 SUV (Used),Petrol,2000,Registered (Used),Automatic,"Rs. 22,000,000",Pannala,"66,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","BMW X5 M Sport Plus – 2016
FULLY PRESTIGE AUTO BAVARIA MAINTAINED  

WP CAT-XXXX | YOM 2016 | 1st Owner (Private) | 66,000 miles | Mint Condition

This is a highest-spec 2016 BMW X5 xDrive40e M Sport Plus in pristine condition – fully loaded with almost every available option from the factory.

Key Highlights:

• Highest specification M Sport with M Sport Plus styling

• Night Vision with Pedestrian & Animal Behaviour Monitoring

• 360° Bird Eye Camera with Pedestrian Cross Alert

• Radar Cruise Control + Auto Brake + Lane Departure Warning

• Tan Dakota Leather interior

• Rear Entertainment System (factory fitted) with dual Rear Headrest Monitors + CD loader

• Rear Privacy

• Dual Panoramic Sunroof

• Head-Up Display (HUD)

• Air Suspension

• Harmon Kardon 7G Surround Sound with 600W amplifier

• All 4 Soft-Close Doors (suction doors)

• Comfort Access (keyless entry) on all doors

• 20-inch M Sport wheels

• Active Shutter Kidney Grills

• Exterior door handle lights + Ambient Lighting

• Paddle Shifts + Sport Plus mode

• 6WA Instrument Cluster

• Dual Electric Seats with memory function

• All power windows & auto power shutters

• Retractable mirrors with auto-fold, heat & anti-dazzle

• Rear Power Tailgate with lock option

• M Sport bumpers, lip & rear diffuser

• Blacked-out muffler tips

• Auto sensing wipers + Headlight washers

• Seat heaters (front & rear)

• Way to Home function

• xDrive All-Wheel Drive

• Anti-dazzle mirrors (interior & exterior)

Colour: White Exterior | Tan Dakota Leather Interior

Engine: 2.0L Petrol Plug-in Hybrid (xDrive40e) – 1997cc

Mileage: 66,000 miles (very well maintained)

Condition: Mint / Excellent throughout

This X5 is one of the most optioned examples available in Sri Lanka – loaded with luxury, safety, and performance features rarely seen together.

Location: Can be seen at Pannala, Elabadagama

Contact: 0775 396 536

Serious buyers only. Test drive & inspection welcome.



Price : 2200000/=

negotiable after inspection",https://riyasewana.com/buy/bmw-x5-sale-pannala-11663579
Kia,SUV,Kia Sorento 2011 SUV (Used),Petrol,2300,Registered (Used),Automatic,Negotiable,Kandana,"147,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","First owner
Electric seat
Line Ac
7 seat
Original jeep
No any accident 
18 rim size
Button 4x4 wheel drive
Show room condition 
Company maintains 
Quick sale",https://riyasewana.com/buy/kia-sorento-sale-kandana-11663549
Honda,SUV,Honda Vezel Z Play With Moon Roof 2023 SUV (Used),Hybrid,1500,Registered (Used),Automatic,"Rs. 18,900,000",Kandana,"29,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Honda Vezel Z Play full Options and Fully Loaded with Panaromic Moon Roof, 2 Tone Luxury Interior, Honda Vezel Z Play full Options and Fully Loaded with Panaromic Moon Roof, 2 Tone Luxury Interior, Original Japan Fixed TV, Reverse Camera, Premier Sound System, Wireless Charger, Power Auto Door with Kick Boot, 18"" Japanese Alloy Wheels, etc. Auction Grade - 4.50 Genuine Mileage 29,000kms.(Imported Mileage - 25,000kms YOM - 2023 December. Registered in end October 2025. WP CBR 3XXX. All Original Import Documents, Auction Sheet, Inspection Certificates, Odo Meter Certificate, etc. available for your reference. Personally Imported Vehicle. Price - 189.00 Laks. Price Negotiable for Genuine Customer. Floods Free Vehicle. Selling for Highest Reasonable Offer. Contact - 071-7504255.",https://riyasewana.com/buy/honda-vezel-z-sale-kandana-11663546
Mitsubishi,SUV,Mitsubishi Pajero 2001 SUV (Used),Petrol,1830,Registered (Used),Automatic,"Rs. 6,265,000",Kurunegala,"165,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Mitsubishi GDI Pajero for sale.YOM-2001.YOR-2003.Documents clear.Original alloywheels with new tyres.Teak steering.4 disk brake.Sport model.Showroom condition.Kurunegala,Nadeepiyasa. 0721630903",https://riyasewana.com/buy/mitsubishi-pajero-sale-kurunegala-11663526
Toyota,SUV,Toyota Land Cruiser Prado 150 2010 SUV (Used),Petrol,2700,Registered (Used),Automatic,Negotiable,Dehiwala-Mount-Lavinia,"211,500 km",[],"Mint Condition 
Registered owner selling (3rd owner)
Pearl White
Genuine mileage (all records available)
Petrol, Automatic

Leather / Electric / Heated seats
Beige interior
Sunroof
Factory fitted sound system with overhead original TV
3 way camera
Cruise control

Brand new tyres
Toyota Lanka maintained
Perfect running condition (all maintenance done up to date)
Accident free vehicle in the original condition
All tax papers available
Price negotiable after inspection.",https://riyasewana.com/buy/toyota-land-cruiser-sale-dehiwala-mount-lavinia-11616108
Baic,SUV,Baic Beijing X55 2025 SUV Unregistered (Recondition),Petrol,1500,Unregistered (Recondition),Automatic,"Rs. 13,800,000",Kandy,"9,800 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","2 years company warranty available. Voice command, Power tail gate, Hidden door handles, Wireless charging, Panoramic Sun roof etc..",https://riyasewana.com/buy/baic-beijing-x55-sale-kandy-11611134
Toyota,SUV,Toyota RAIZE Hybrid 2026 SUV Brand New,Petrol,1200,Brand New,Automatic,"Rs. 14,650,000",Dehiwala-Mount-Lavinia,1 km,"[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Toyota Raize 2026
Z Grade
1200cc Hybrid
Brand new
0 mileage 

Call/Whatsapp us on 0771133858 for Inquiries.",https://riyasewana.com/buy/toyota-raize-hybrid-sale-dehiwala-mount-lavinia-11514838
