title,Brand_Cleaned,Model_Cleaned,Storage_GB,RAM_GB,Connectivity_Cleaned,Screen_Size,Condition_Cleaned,Location_Cleaned,Price_Cleaned
Samsung Galaxy S10 Lite 6GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,101420.0
Samsung Galaxy S10 Lite 6GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,101450.0
Samsung Galaxy A11 Plus 8GB 256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,59480.0
Samsung Galaxy A11 Plus 8GB 256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,99280.0
Samsung Galaxy A11 Plus 8GB 256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,99620.0
Samsung Galaxy A11 Plus 8GB 256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,99360.0
Samsung Galaxy A11 PLUS 8GB 256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,99650.0
Samsung Galaxy A11 Plus 8GB 256GB,Samsung,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,99380.0
Samsung Galaxy A11 8GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,59680.0
Samsung Galaxy A11 8GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,59302.0
Samsung Galaxy A11 8GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,59280.0
Samsung Galaxy A11 8GB 128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,59480.0
Samsung Galaxy Tab A11 8GB 128GB,Samsung,Galaxy Tab A11,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,59480.0
Samsung Galaxy Tab A11 4GB 64GB,Samsung,Galaxy Tab A11,64.0,4.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,45106.0
Samsung Galaxy A11 4GB 64GB,Samsung,Standard Tablet,64.0,4.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,45680.0
Samsung Galaxy A11 4GB 64GB,Samsung,Standard Tablet,64.0,4.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,45780.0
Samsung Galaxy A11 4GB 64GB,Samsung,Standard Tablet,64.0,4.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,45130.0
Samsung Galaxy A11 4GB 64GB,Samsung,Standard Tablet,64.0,4.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,45180.0
Apple iPad 8th Gen 32GB,Apple,Ipad 8,32.0,3.0,WiFi / Standard,10.0 Inch,Used,Colombo,25000.0
Amazon Kindle Paper White 11th Gen,Amazon,Kindle,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Colombo,42000.0
Apple iPad Pro 11 M2 4th Gen,Apple,Ipad Pro,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Galle,155000.0
Blackvive Tab 60 Pro,Other,Standard Tablet,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Colombo,39000.0
Greentel A9 Pro,Other,Standard Tablet,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Colombo,38000.0
Samsung Galaxy S10 FE Plus 8GB/128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,172490.0
Samsung Galaxy Tab S10 FE 12GB/256GB 5G,Samsung,Galaxy Tab S10,256.0,8.0,5G + WiFi,10.0 Inch,Brand New,Colombo,204490.0
Samsung Galaxy S10 FE Plus 8GB/128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,172490.0
Samsung Galaxy Tab S10 LITE 8GB/256GB WIFI,Samsung,Galaxy Tab S10,256.0,8.0,WiFi Only,10.0 Inch,Brand New,Colombo,132490.0
Apple iPad A16 128GB Wifi,Apple,Ipad,128.0,6.0,WiFi Only,10.0 Inch,Brand New,Colombo,154490.0
Samsung Galaxy A11 4GB/64GB,Samsung,Standard Tablet,64.0,4.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,49990.0
Samsung Galaxy Tab S10 Lite 8GB/256GB,Samsung,Galaxy Tab S10,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,132490.0
Xiaomi Redmi Pad 2 8GB/256GB 33,Xiaomi,Redmi Pad,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,93990.0
Samsung Galaxy S10 FE Plus 8GB/128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,172490.0
Samsung Galaxy S10 FE Plus 8GB/128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,172490.0
Samsung Galaxy Tab S10 LITE 8GB/256GB,Samsung,Galaxy Tab S10,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,146490.0
Samsung Galaxy Tab S10 Lite 8GB/256GB,Samsung,Galaxy Tab S10,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,132490.0
Samsung Galaxy S10 Lite 6GB/128GB 5G,Samsung,Standard Tablet,128.0,6.0,5G + WiFi,10.0 Inch,Brand New,Colombo,123490.0
Samsung Galaxy Tab S10 LITE 8GB/256GB WIFI,Samsung,Galaxy Tab S10,256.0,8.0,WiFi Only,10.0 Inch,Brand New,Colombo,132490.0
Samsung Galaxy Tab A11 4GB/64GB,Samsung,Galaxy Tab A11,64.0,4.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,49990.0
Apple iPad A16 128GB,Apple,Ipad,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,189990.0
Apple iPad A16 128GB Wifi,Apple,Ipad,128.0,6.0,WiFi Only,10.0 Inch,Brand New,Colombo,154490.0
Samsung Galaxy Tab A11 8GB/128GB,Samsung,Galaxy Tab A11,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,66490.0
Samsung Galaxy S10 FE Plus 8GB/128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,172490.0
Samsung Galaxy S10 FE Plus 8GB/128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,172490.0
Samsung Galaxy Tab S10 FE 12GB/256GB 5G,Samsung,Galaxy Tab S10,256.0,8.0,5G + WiFi,10.0 Inch,Brand New,Colombo,204490.0
SAMSUNG S10FE 12GB/256GB WIFI 11,Samsung,Standard Tablet,256.0,8.0,WiFi Only,10.0 Inch,Brand New,Colombo,157490.0
Samsung Galaxy Tab S10 Lite 8GB/256GB,Samsung,Galaxy Tab S10,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,132490.0
Samsung Galaxy S10 Lite 6GB/128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,100490.0
Samsung Galaxy Tab A11 Plus 6GB/128GB,Samsung,Galaxy Tab A11,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,82490.0
Honor Pad X8B 4GB/128GB,Honor,Pad X8,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,87990.0
Samsung Galaxy Tab S10 FE 8GB 128GB,Samsung,Galaxy Tab S10,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,124990.0
Blackview Zeno 10 6GB/128GB,Blackview,Zeno 10,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,75990.0
Blackview Zeno 5 8GB/128GB,Blackview,Zeno 5,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,66990.0
Xiaomi Redmi Pad Pro 5G,Xiaomi,Redmi Pad Pro,64.0,4.0,5G + WiFi,10.0 Inch,Brand New,Colombo,127990.0
Xiaomi Redmi Pad 2 4GB/128GB,Xiaomi,Redmi Pad,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,71490.0
Oscal Bolt 2 8GB/128GB,Other,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,65990.0
Oscal Pad 9 4GB/128GB,Other,Standard Tablet,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,56990.0
Oscal Pad 7 4GB/128GB,Other,Standard Tablet,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,56990.0
Apple iPad A16 128GB Wifi 00,Apple,Ipad,128.0,6.0,WiFi Only,10.0 Inch,Brand New,Colombo,154490.0
Samsung Galaxy Tab S10 Lite 8GB/256GB 01,Samsung,Galaxy Tab S10,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,132490.0
Samsung Galaxy S10 FE Plus 8GB/128GB 5G 01,Samsung,Standard Tablet,128.0,6.0,5G + WiFi,10.0 Inch,Brand New,Colombo,190490.0
Powerful & Portable Tablet,Other,Standard Tablet,64.0,4.0,WiFi / Standard,10.0 Inch,Used,Colombo,250000.0
Honor Pad X8B 4GB/128GB,Honor,Pad X8,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,87990.0
Blackview Zeno 10 6GB/128GB,Blackview,Zeno 10,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,75990.0
Xiaomi Redmi Pad Pro 5G,Xiaomi,Redmi Pad Pro,64.0,4.0,5G + WiFi,10.0 Inch,Brand New,Colombo,127990.0
Xiaomi Redmi Pad 2 4GB/128GB,Xiaomi,Redmi Pad,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,71490.0
Oscal Pad 9 4GB/128GB,Other,Standard Tablet,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,56990.0
Samsung Galaxy S10 FE Plus 8GB/128GB 5G 00,Samsung,Standard Tablet,128.0,6.0,5G + WiFi,10.0 Inch,Brand New,Colombo,190490.0
Samsung Galaxy S10 Fe 256GB/12GB WIFI 00,Samsung,Standard Tablet,64.0,4.0,WiFi Only,10.0 Inch,Brand New,Colombo,157490.0
Blackview Link 2 Wifi 4GB/128GB,Blackview,Standard Tablet,128.0,6.0,4G LTE / SIM,10.0 Inch,Brand New,Colombo,42490.0
Samsung Galaxy S10 FE Plus 8GB/128GB 5G,Samsung,Standard Tablet,128.0,6.0,5G + WiFi,10.0 Inch,Brand New,Colombo,190490.0
Samsung Galaxy S10 FE Plus 8GB/128GB 5G,Samsung,Standard Tablet,128.0,6.0,5G + WiFi,10.0 Inch,Brand New,Colombo,190490.0
Samsung Galaxy S10 Lite 6GB/128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,100490.0
Oscal Pad 200 6GB/256GB,Other,Standard Tablet,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,83990.0
Redmi Pad Pro 5G 8GB 256GB Tablet,Redmi,Standard Tablet,256.0,8.0,5G + WiFi,10.0 Inch,Brand New,Gampaha,124000.0
Samsung Galaxy S10 FE Plus 8GB/128GB,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,172490.0
Samsung Galaxy S10 FE Plus 8GB/128GB 00,Samsung,Standard Tablet,128.0,6.0,WiFi / Standard,10.0 Inch,Brand New,Colombo,172490.0
Redmi Pad 2 Pro 5G 8GB 256GB,Redmi,Standard Tablet,256.0,8.0,5G + WiFi,10.0 Inch,Brand New,Gampaha,139500.0
Xiaomi Redmi Pad 2 8GB 256GB,Xiaomi,Redmi Pad,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Gampaha,87900.0
Honor Pad X9A 8GB 256GB,Honor,Pad X9,256.0,8.0,WiFi / Standard,10.0 Inch,Brand New,Gampaha,102500.0
11'' Redmi Pad 2 8GB 256GB,Redmi,Standard Tablet,256.0,8.0,WiFi / Standard,11 Inch,Brand New,Colombo,87900.0
iPad 4th Gen 16GB WiFi - Reset Rathnapura,Apple,Ipad,16.0,3.0,WiFi Only,10.0 Inch,Used,Ratnapura,18000.0
Samsung Galaxy Tab S10 FE 12GB/256GB 5G 00,Samsung,Galaxy Tab S10,256.0,8.0,5G + WiFi,10.0 Inch,Brand New,Colombo,204490.0
