model,vendor,release_year,memory_size_mb,memory_type,buswidth_bits,gpu_clockspeed_mhz,memory_clockspeed_mhz,max_bandwidth_mb_s,process_size_nm,transistors_million,external_power,shader_cores_or_stream_processors,boost_clock_mhz
RTX 3060 TI,NVIDIA,2020,8192,GDDR6,256,1410,14000,448000,8,17400,8-pin,4864,1665
RTX 3070,NVIDIA,2020,8192,GDDR6,256,1500,14000,448000,8,17400,8-pin,5888,1725
RTX 3070 TI,NVIDIA,2021,8192,GDDR6X,256,1575,19000,608000,8,17400,8+6-pin,6144,1770
RTX 3080,NVIDIA,2020,10240,GDDR6X,320,1440,19000,760000,8,28300,8+8-pin,8704,1710
RTX 4060,NVIDIA,2023,8192,GDDR6,128,1830,17000,272000,5,18900,8-pin,3072,2460
RTX 4060 TI,NVIDIA,2023,8192,GDDR6,128,2310,18000,288000,5,22700,8-pin,4352,2535
RTX 4070,NVIDIA,2023,12288,GDDR6X,192,1920,21000,504000,5,35800,16-pin,5888,2475
RTX 4070 SUPER,NVIDIA,2024,12288,GDDR6X,192,1980,21000,504000,5,35800,16-pin,7168,2475
RTX 5080,NVIDIA,2025,16384,GDDR7,256,2295,30000,960000,4,45600,16-pin,10752,2617
RX 440,AMD,2017,2048,GDDR5,64,1219,7000,56000,14,3000,None,512,1219
RX 480,AMD,2016,8192,GDDR5,256,1120,8000,256000,14,5700,8-pin,2304,1266
RX 5600 XT,AMD,2020,6144,GDDR6,192,1375,12000,288000,7,10300,8+6-pin,2304,1560
RX 570,AMD,2017,4096,GDDR5,256,1168,7000,224000,14,5700,8-pin,2048,1244
RX 5700,AMD,2019,8192,GDDR6,256,1465,14000,448000,7,10300,8+6-pin,2304,1725
RX 5700 XT,AMD,2019,8192,GDDR6,256,1605,14000,448000,7,10300,8+6-pin,2560,1905
RX 580,AMD,2017,8192,GDDR5,256,1257,8000,256000,14,5700,8-pin,2304,1340
RX 590,AMD,2018,8192,GDDR5,256,1469,8000,256000,12,12570,8-pin,2304,1545
RX 6500 XT,AMD,2022,4096,GDDR6,64,2310,18000,144000,6,5400,6-pin,1024,2815
RX 6600,AMD,2021,8192,GDDR6,128,1626,14000,224000,7,11100,8-pin,1792,2491
RX 6600 XT,AMD,2021,8192,GDDR6,128,1607,16000,256000,7,11100,8-pin,2048,2589
RX 6650 XT,AMD,2022,8192,GDDR6,128,2055,17500,280000,7,11100,8-pin,2048,2635
RX 7600,AMD,2023,8192,GDDR6,128,1720,18000,288000,6,13250,8-pin,2048,2655
